	index	Time	TemperatureF	Humidity	DryBulb	WetBulb	DATE	Hour	Minute	Day	Weekend	Holiday
0	0	2016-01-01 00:01:00	50.0	63.0	50.0	(42.66+0j)	2016-01-01 00:00:00	0	0	6	0	0
1	12	2016-01-01 00:32:00	49.8	63.0	49.8	(42.48+0j)	2016-01-01 01:00:00	1	60	6	0	0
2	36	2016-01-01 01:32:00	48.9	61.0	48.9	(41.21+0j)	2016-01-01 02:00:00	2	120	6	0	0
3	60	2016-01-01 02:33:00	48.6	61.0	48.6	(40.94+0j)	2016-01-01 03:00:00	3	180	6	0	0
4	82	2016-01-01 03:34:00	47.7	63.0	47.7	(40.57+0j)	2016-01-01 04:00:00	4	240	6	0	0
5	106	2016-01-01 04:35:00	46.9	63.0	46.9	(39.85+0j)	2016-01-01 05:00:00	5	300	6	0	0
6	128	2016-01-01 05:31:00	45.5	66.0	45.5	(39.21+0j)	2016-01-01 06:00:00	6	360	6	0	0
7	150	2016-01-01 06:31:00	45.1	61.0	45.1	(37.78+0j)	2016-01-01 07:00:00	7	420	6	0	0
8	174	2016-01-01 07:32:00	44.8	62.0	44.8	(37.72+0j)	2016-01-01 08:00:00	8	480	6	0	0
9	196	2016-01-01 08:33:00	44.8	59.0	44.8	(37.08+0j)	2016-01-01 09:00:00	9	540	6	0	0
10	220	2016-01-01 09:34:00	45.3	60.0	45.3	(37.74+0j)	2016-01-01 10:00:00	10	600	6	0	0
11	244	2016-01-01 10:35:00	45.1	59.0	45.1	(37.34+0j)	2016-01-01 11:00:00	11	660	6	0	0
12	270	2016-01-01 11:35:00	46.2	60.0	46.2	(38.55+0j)	2016-01-01 12:00:00	12	720	6	0	0
13	292	2016-01-01 12:31:00	46.9	59.0	46.9	(38.96+0j)	2016-01-01 13:00:00	13	780	6	0	0
14	316	2016-01-01 13:31:00	46.8	59.0	46.8	(38.87+0j)	2016-01-01 14:00:00	14	840	6	0	0
15	340	2016-01-01 14:32:00	47.1	60.0	47.1	(39.36+0j)	2016-01-01 15:00:00	15	900	6	0	0
16	364	2016-01-01 15:34:00	46.9	59.0	46.9	(38.96+0j)	2016-01-01 16:00:00	16	960	6	0	0
17	386	2016-01-01 16:35:00	46.8	61.0	46.8	(39.31+0j)	2016-01-01 17:00:00	17	1020	6	0	0
18	410	2016-01-01 17:40:00	46.4	60.0	46.4	(38.73+0j)	2016-01-01 18:00:00	18	1080	6	0	0
19	430	2016-01-01 18:32:00	46.6	55.0	46.6	(37.77+0j)	2016-01-01 19:00:00	19	1140	6	0	0
20	454	2016-01-01 19:33:00	46.4	55.0	46.4	(37.59+0j)	2016-01-01 20:00:00	20	1200	6	0	0
